"municipio";"low_cost";"rotulo";"mean(precio_gasoleo_a, na.rm = TRUE)";"mean(precio_gasolina_95_e5_premium, na.rm = TRUE)";"max(precio_gasoleo_a, na.rm = TRUE)";"max(precio_gasolina_95_e5_premium, na.rm = TRUE)";"min(precio_gasoleo_a, na.rm = TRUE)";"min(precio_gasolina_95_e5_premium, na.rm = TRUE)"
"Perdiguera";FALSE;"CEPSA";1.369;NA;1.369;-Inf;1.369;Inf
"Perdiguera";TRUE;"COOP. SAN JOSE";NA;NA;-Inf;-Inf;Inf;Inf
"Pereiro de Aguiar (O)";FALSE;"REPSOL";1.389;NA;1.389;-Inf;1.389;Inf
"Pereiro de Aguiar (O)";TRUE;"E. S. D. FRANQUE";1.282;NA;1.289;-Inf;1.275;Inf
"Pereiro de Aguiar (O)";TRUE;"J.L E HIJOS";1.282;NA;1.289;-Inf;1.275;Inf
"Perelló (El)";TRUE;"ALAS";1.249;NA;1.249;-Inf;1.249;Inf
"Pereruela";TRUE;"REPOSTAR--ALFA";1.329;NA;1.329;-Inf;1.329;Inf
"Periana";TRUE;"S. CCO. AND. SAN ISIDRO";1.26;NA;1.27;-Inf;1.25;Inf
"Periana";TRUE;"COOPERATIVA ACEITE MONDRON";1.26;NA;1.27;-Inf;1.25;Inf
"Peroxa (A)";TRUE;"E.S. PEROXA (A)";1.379;NA;1.379;-Inf;1.379;Inf
"Petra";FALSE;"REPSOL";1.439;1.669;1.439;1.669;1.439;1.669
"Petra";FALSE;"CEPSA";1.439;1.669;1.439;1.669;1.439;1.669
"Petrer";FALSE;"SHELL";1.37566666666667;1.578;1.389;1.578;1.349;1.578
"Petrer";FALSE;"CEPSA";1.37566666666667;1.578;1.389;1.578;1.349;1.578
"Petrer";FALSE;"CEPSA";1.37566666666667;1.578;1.389;1.578;1.349;1.578
"Petrer";TRUE;"E.S. PETRER-ELDA";1.319;NA;1.369;-Inf;1.299;Inf
"Petrer";TRUE;"CARREFOUR";1.319;NA;1.369;-Inf;1.299;Inf
"Petrer";TRUE;"BALLENOIL";1.319;NA;1.369;-Inf;1.299;Inf
"Petrer";TRUE;"CAMPSA EXPRESS";1.319;NA;1.369;-Inf;1.299;Inf
"Pétrola";TRUE;"GASOLEOS TURBULA";1.349;NA;1.349;-Inf;1.349;Inf
"Peza (La)";TRUE;"LA PEZA";1.298;NA;1.298;-Inf;1.298;Inf
"Pezuela de las Torres";FALSE;"REPSOL";1.409;NA;1.409;-Inf;1.409;Inf
"Picanya";FALSE;"REPSOL";1.379;NA;1.379;-Inf;1.379;Inf
"Picanya";TRUE;"BP E.S. FAITANAR";1.3335;NA;1.369;-Inf;1.298;Inf
"Picanya";TRUE;"DIESELF";1.3335;NA;1.369;-Inf;1.298;Inf
"Picassent";FALSE;"REPSOL";1.404;NA;1.409;-Inf;1.399;Inf
"Picassent";FALSE;"REPSOL";1.404;NA;1.409;-Inf;1.399;Inf
"Picassent";TRUE;"A2OIL";1.32675;NA;1.389;-Inf;1.289;Inf
"Picassent";TRUE;"BP PICASSENT";1.32675;NA;1.389;-Inf;1.289;Inf
"Picassent";TRUE;"TAMOIL";1.32675;NA;1.389;-Inf;1.289;Inf
"Picassent";TRUE;"COOPIC";1.32675;NA;1.389;-Inf;1.289;Inf
"Piedrabuena";FALSE;"CEPSA";1.369;NA;1.369;-Inf;1.369;Inf
"Piedrabuena";TRUE;"GP ENERGIA";1.289;NA;1.289;-Inf;1.289;Inf
"Piedrabuena";TRUE;"MONTES NORTE ENERGETICOS, S.L.";1.289;NA;1.289;-Inf;1.289;Inf
"Piedrahíta";FALSE;"REPSOL";1.414;NA;1.419;-Inf;1.409;Inf
"Piedrahíta";FALSE;"REPSOL";1.414;NA;1.419;-Inf;1.409;Inf
"Piélagos";FALSE;"GALP";1.342;1.588;1.409;1.588;1.275;1.588
"Piélagos";FALSE;"CEPSA";1.342;1.588;1.409;1.588;1.275;1.588
"Piélagos";TRUE;"AVIA";1.368;NA;1.368;-Inf;1.368;Inf
"Piera";TRUE;"NIEVES";1.244;NA;1.259;-Inf;1.229;Inf
"Piera";TRUE;"ESCLATOIL";1.244;NA;1.259;-Inf;1.229;Inf
"Pilar de la Horadada";FALSE;"CEPSA";1.389;1.578;1.389;1.578;1.389;1.578
"Pilar de la Horadada";FALSE;"CEPSA";1.389;1.578;1.389;1.578;1.389;1.578
"Pilar de la Horadada";TRUE;"E.S.HORADADA";1.3215;NA;1.329;-Inf;1.309;Inf
"Pilar de la Horadada";TRUE;"SURINVER";1.3215;NA;1.329;-Inf;1.309;Inf
"Pilar de la Horadada";TRUE;"ÁRTICO OIL";1.3215;NA;1.329;-Inf;1.309;Inf
"Pilar de la Horadada";TRUE;"E.S. LA TORRE";1.3215;NA;1.329;-Inf;1.309;Inf
"Pilas";FALSE;"CEPSA";1.389;NA;1.389;-Inf;1.389;Inf
"Pilas";TRUE;"BALLENOIL";1.3442;NA;1.395;-Inf;1.289;Inf
"Pilas";TRUE;"E.S.ALCARAYON (BP OIL)";1.3442;NA;1.395;-Inf;1.289;Inf
"Pilas";TRUE;"LOS VENTOLINES (AGLA)";1.3442;NA;1.395;-Inf;1.289;Inf
"Pilas";TRUE;"U.S. POSTE PILAS";1.3442;NA;1.395;-Inf;1.289;Inf
"Pilas";TRUE;"COBELEN";1.3442;NA;1.395;-Inf;1.289;Inf
"Piloña";FALSE;"REPSOL";1.399;NA;1.399;-Inf;1.399;Inf
"Piloña";TRUE;"BP INFIESTO";1.409;NA;1.409;-Inf;1.409;Inf
"Pina de Ebro";FALSE;"REPSOL";1.42233333333333;NA;1.449;-Inf;1.369;Inf
"Pina de Ebro";FALSE;"CEPSA";1.42233333333333;NA;1.449;-Inf;1.369;Inf
"Pina de Ebro";FALSE;"CEPSA";1.42233333333333;NA;1.449;-Inf;1.369;Inf
